Base,Currency,Value,Date,Source,Update
USD,ZAR,3.6463,02/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6476,03/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6483,06/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6397,07/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6403,08/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6417,09/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6344,10/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6357,13/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6410,14/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6383,15/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6437,16/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6476,17/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6530,20/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6450,21/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6476,22/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6503,23/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6516,24/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6597,27/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6610,28/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6610,29/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6637,30/11/1995,https://www.resbank.co.za,no
USD,ZAR,3.6697,01/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6610,04/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6657,05/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6677,06/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6691,07/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6691,08/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6677,11/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6677,12/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6704,13/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6697,14/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6664,15/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6677,18/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6664,19/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6691,20/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6650,21/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6643,22/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6583,27/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6516,28/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6490,29/12/1995,https://www.resbank.co.za,no
USD,ZAR,3.6423,02/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6357,03/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6291,04/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6278,05/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6304,08/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6350,09/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6265,10/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6252,11/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6304,12/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6344,15/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6397,16/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6463,17/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6450,18/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6476,19/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6503,22/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6450,23/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6503,24/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6490,25/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6530,26/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6543,29/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6530,30/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6523,31/01/1996,https://www.resbank.co.za,no
USD,ZAR,3.6516,01/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6516,02/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6463,05/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6423,06/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6456,07/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6463,08/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6463,09/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6490,12/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6476,13/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6450,14/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6490,15/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.6975,16/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8146,19/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8685,20/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.9746,21/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.9285,22/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8588,23/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8625,26/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8248,27/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8124,28/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8469,29/02/1996,https://www.resbank.co.za,no
USD,ZAR,3.8956,01/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9032,04/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.8737,05/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.8760,06/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.8827,07/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9378,08/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9456,11/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9208,12/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9362,13/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9147,14/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9424,15/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9270,18/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9339,19/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9293,20/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9216,22/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9262,25/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9362,26/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9612,27/03/1996,https://www.resbank.co.za,no
USD,ZAR,4.0008,28/03/1996,https://www.resbank.co.za,no
USD,ZAR,4.0048,29/03/1996,https://www.resbank.co.za,no
USD,ZAR,3.9738,01/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.0185,02/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.0891,03/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.0866,04/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.1322,09/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.1632,10/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.1425,11/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.1545,12/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.1973,15/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2418,16/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2310,17/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2409,18/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2626,19/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2599,22/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2409,23/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.2373,24/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.3234,25/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.4553,26/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.3412,29/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.3869,30/04/1996,https://www.resbank.co.za,no
USD,ZAR,4.3526,02/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3792,03/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3908,06/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3966,07/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3898,08/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.5382,09/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.4336,10/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3697,13/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3563,14/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3187,15/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3365,16/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3393,17/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3299,20/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3253,21/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3403,22/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3716,23/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3563,24/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3649,27/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3946,28/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3946,29/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3659,30/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3649,31/05/1996,https://www.resbank.co.za,no
USD,ZAR,4.3497,03/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3621,04/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3812,05/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3716,06/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3478,07/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3725,10/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3459,11/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3497,12/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3113,13/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3271,14/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3375,18/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3469,19/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3582,20/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3621,21/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3659,24/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3526,25/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3497,26/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3299,27/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3337,28/06/1996,https://www.resbank.co.za,no
USD,ZAR,4.3365,01/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3337,02/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3337,03/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3328,04/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3431,05/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3431,08/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3375,09/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3299,10/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3412,11/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3716,12/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4366,15/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4405,16/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4024,17/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3860,18/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3869,19/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.3927,22/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4189,23/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4160,24/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4297,25/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4553,26/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4573,29/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4623,30/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.4663,31/07/1996,https://www.resbank.co.za,no
USD,ZAR,4.5249,01/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.4944,02/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.4643,05/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.4683,06/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5015,07/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5147,08/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5198,12/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5351,13/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5475,14/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5424,15/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5527,16/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5434,19/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5662,20/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5558,21/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5631,22/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5310,23/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5382,26/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5259,27/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5116,28/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.5065,29/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.4994,30/08/1996,https://www.resbank.co.za,no
USD,ZAR,4.4753,02/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4763,03/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4843,04/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4964,05/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5065,06/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4994,09/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4914,10/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4863,11/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4853,12/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5015,13/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4863,16/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4853,17/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4863,18/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4853,19/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.4934,20/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5126,23/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5137,25/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5167,26/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5351,27/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5198,30/09/1996,https://www.resbank.co.za,no
USD,ZAR,4.5413,01/10/1996,https://www.resbank.co.za,no
USD,ZAR,4.5116,02/10/1996,https://www.resbank.co.za,no
USD,ZAR,4.5086,03/10/1996,https://www.resbank.co.za,no
USD,ZAR,4.5218,04/10/1996,https://www.resbank.co.za,no
