Date,Full_95_Coast,Basic_Fuel_Price,Exchange_Rate,Crude_Oil,BFP,Fuel_Tax,Customs_Excise,Equalization_Fund_Levy,RAF,Transport_Cost,Petroleum_Products_Levy,Wholesale_Margin,Secondary_Storage,Secondary_Distribution,Retail_Margin,Slate_Levy,Delivery_Cost,DSML,Source,Update
01/12/1995,174.00,59.9760,3.6655,17.9300,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/01/1996,174.00,56.8500,3.6419,17.7900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/02/1996,174.00,57.5560,3.7484,17.6900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/03/1996,174.00,61.9330,3.9300,19.4600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/04/1996,182.00,75.1290,4.2176,20.7800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/05/1996,196.00,84.3540,4.3784,19.1200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/06/1996,209.00,82.0860,4.3517,18.5600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/07/1996,208.00,77.1220,4.3891,19.5600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/08/1996,202.00,76.6120,4.5263,20.1900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/09/1996,199.00,73.9340,4.4996,22.1400,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/10/1996,200.00,79.1250,4.5749,23.4300,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/11/1996,203.00,84.9320,4.6594,22.2500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/12/1996,211.00,87.7140,4.6846,23.5100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/01/1997,214.00,87.2150,4.6455,23.2900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/02/1997,213.00,84.7990,4.4514,20.5400,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/03/1997,209.00,89.9770,4.4387,19.4200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/04/1997,211.00,86.9280,4.4431,17.9800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/05/1997,212.00,81.2870,4.4694,19.4700,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/06/1997,206.00,80.1410,4.5001,18.0200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/07/1997,203.00,79.6400,4.5594,18.4500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/08/1997,203.00,81.2130,4.6860,18.7900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/09/1997,208.00,81.3820,4.6923,18.7300,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/10/1997,209.00,83.0280,4.7121,20.1200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/11/1997,214.00,84.7330,4.8380,19.1600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/12/1997,215.00,80.5650,4.8720,17.2400,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/01/1998,211.00,77.7680,4.9411,15.0700,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/02/1998,211.00,72.6570,4.9372,14.1800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/03/1998,206.00,68.9700,4.9728,13.2400,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/04/1998,214.00,71.1270,5.0479,13.3900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/05/1998,215.00,76.2590,5.0939,13.9700,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/06/1998,221.00,77.7290,5.3736,12.4800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/07/1998,222.00,89.2200,6.2595,12.7200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/08/1998,233.00,85.7790,6.3402,12.4900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/09/1998,234.00,75.5820,6.1382,13.8000,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/10/1998,231.00,73.9650,5.8164,13.2600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/11/1998,225.00,70.2320,5.6677,11.8800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/12/1998,223.00,66.7070,5.8999,10.4100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/01/1999,219.00,67.6600,5.9984,11.3200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/02/1999,218.00,69.5050,6.1240,10.7500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/03/1999,220.00,73.1200,6.2190,12.8600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/04/1999,227.00,88.1450,6.1251,15.7300,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/05/1999,245.00,94.3630,6.1902,16.1200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/06/1999,257.00,94.0640,6.0983,16.2400,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/07/1999,257.00,99.4560,6.1157,18.7500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/08/1999,258.00,110.8420,6.1350,20.2100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/09/1999,271.00,114.3760,6.0654,22.3700,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/10/1999,279.00,114.9870,6.0992,22.1900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/11/1999,280.00,115.9200,6.1294,24.2200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/12/1999,279.00,116.8530,6.1513,25.0100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/01/2000,281.00,121.2610,6.1250,25.2100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/02/2000,275.00,136.3290,6.3212,27.1500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/03/2000,284.00,156.1450,6.4666,27.4900,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/04/2000,311.00,141.6630,6.6183,23.4500,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/05/2000,312.00,157.1730,7.0354,27.2300,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/06/2000,320.00,162.7020,6.9343,29.6200,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/07/2000,340.00,172.3520,6.8833,28.1600,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/08/2000,349.00,186.6350,6.9578,29.4100,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/09/2000,355.00,191.7960,7.1687,32.0800,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
01/10/2000,361.00,191.8190,7.4746,31.4000,,,,,,,,,,,,,,,http://www.energy.gov.za/files/petroleum_frame.html,no
